"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed","trip_note","route_direction"
"SMNW_M","101-03.090422.32","101-03.090422.32.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.100422.64","101-03.100422.64.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.110422.15","101-03.110422.15.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.150422.16","101-03.150422.16.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.160422.32","101-03.160422.32.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.170422.64","101-03.170422.64.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.180422.15","101-03.180422.15.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.220422.16","101-03.220422.16.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.230422.32","101-03.230422.32.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.240422.64","101-03.240422.64.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.250422.15","101-03.250422.15.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.290422.16","101-03.290422.16.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.300422.32","101-03.300422.32.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.010522.64","101-03.010522.64.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.020522.15","101-03.020522.15.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.060522.16","101-03.060522.16.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.070522.32","101-03.070522.32.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.080522.64","101-03.080522.64.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.090522.15","101-03.090522.15.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
"SMNW_M","101-03.130522.16","101-03.130522.16.0517","Tallawong","101-03","0","","SMNW.OUTBOUND","1","1","","Chatswood to Tallawong"
