"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"101-08.160522.15","1","1","1","1","0","0","0","20220516","20220519"
"101-08.200522.16","0","0","0","0","1","0","0","20220520","20220520"
"101-08.210522.32","0","0","0","0","0","1","0","20220521","20220521"
"101-08.220522.64","0","0","0","0","0","0","1","20220522","20220522"
"101-08.230522.15","1","1","1","1","0","0","0","20220523","20220526"
"101-08.270522.16","0","0","0","0","1","0","0","20220527","20220527"
"101-08.280522.32","0","0","0","0","0","1","0","20220528","20220528"
"101-08.290522.64","0","0","0","0","0","0","1","20220529","20220529"
"101-08.300522.15","1","1","1","1","0","0","0","20220530","20220602"
"101-09.210222.15","1","1","1","1","0","0","0","20220221","20220224"
"101-09.250222.16","0","0","0","0","1","0","0","20220225","20220225"
"101-09.260222.32","0","0","0","0","0","1","0","20220226","20220226"
"101-09.270222.64","0","0","0","0","0","0","1","20220227","20220227"
"101-09.280222.15","1","1","1","1","0","0","0","20220228","20220303"
"101-09.040322.16","0","0","0","0","1","0","0","20220304","20220304"
"101-09.050322.32","0","0","0","0","0","1","0","20220305","20220305"
"101-09.060322.64","0","0","0","0","0","0","1","20220306","20220306"
"101-09.070322.15","1","1","1","1","0","0","0","20220307","20220310"
"101-09.110322.16","0","0","0","0","1","0","0","20220311","20220311"
"101-09.120322.32","0","0","0","0","0","1","0","20220312","20220312"
"101-09.130322.64","0","0","0","0","0","0","1","20220313","20220313"
"101-09.140322.15","1","1","1","1","0","0","0","20220314","20220317"
"101-09.180322.16","0","0","0","0","1","0","0","20220318","20220318"
"101-09.190322.32","0","0","0","0","0","1","0","20220319","20220319"
"101-09.200322.64","0","0","0","0","0","0","1","20220320","20220320"
"101-09.210322.15","1","1","1","1","0","0","0","20220321","20220324"
"101-09.250322.16","0","0","0","0","1","0","0","20220325","20220325"
"101-09.260322.32","0","0","0","0","0","1","0","20220326","20220326"
"101-09.270322.64","0","0","0","0","0","0","1","20220327","20220327"
