"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"SMNW.OUTBOUND","-33.7311707","151.0191498","237","20848.22"
"SMNW.OUTBOUND","-33.7310888","151.0186417","238","20896.17"
"SMNW.OUTBOUND","-33.7309137","151.0177083","239","20984.83"
"SMNW.OUTBOUND","-33.7306639","151.0163075","240","21117.57"
"SMNW.OUTBOUND","-33.7305189","151.0153624","241","21206.62"
"SMNW.OUTBOUND","-33.7304029","151.0144562","242","21291.59"
"SMNW.OUTBOUND","-33.7303411","151.0136668","243","21365.07"
"SMNW.OUTBOUND","-33.7303694","151.0127127","244","21453.54"
"SMNW.OUTBOUND","-33.7304169","151.0122695","245","21494.95"
"SMNW.OUTBOUND","-33.7304826","151.0120333","246","21518.02"
"SMNW.OUTBOUND","-33.7308229","151.0106091","247","21655.3"
"SMNW.OUTBOUND","-33.7315021","151.0079551","248","21912.54"
"SMNW.OUTBOUND","-33.7318504","151.0065998","249","22043.95"
"SMNW.OUTBOUND","-33.7321558","151.0052797","250","22170.89"
"SMNW.OUTBOUND","-33.7322276","151.0048029","251","22215.79"
"SMNW.OUTBOUND","-33.7322722","151.0043925","252","22254.14"
"SMNW.OUTBOUND","-33.7322851","151.0040516","253","22285.77"
"SMNW.OUTBOUND","-33.7322873","151.0031042","254","22373.57"
"SMNW.OUTBOUND","-33.7322688","151.0027094","255","22410.21"
"SMNW.OUTBOUND","-33.7322127","151.002242","256","22453.97"
"SMNW.OUTBOUND","-33.7320937","151.0016204","257","22513.07"
"SMNW.OUTBOUND","-33.7318392","151.0006738","258","22605.23"
"SMNW.OUTBOUND","-33.7314502","150.9996437","259","22709.99"
"SMNW.OUTBOUND","-33.7312847","150.9993317","260","22744.24"
"SMNW.OUTBOUND","-33.7311725","150.9991394","261","22765.98"
"SMNW.OUTBOUND","-33.7310667","150.9989508","262","22787.03"
"SMNW.OUTBOUND","-33.7307204","150.9983599","263","22853.92"
"SMNW.OUTBOUND","-33.7304754","150.9979324","264","22901.96"
"SMNW.OUTBOUND","-33.7302122","150.9974791","265","22953.12"
"SMNW.OUTBOUND","-33.7296887","150.9965825","266","23054.49"
"SMNW.OUTBOUND","-33.728619","150.9947172","267","23264.16"
"SMNW.OUTBOUND","-33.7280963","150.9938212","268","23365.44"
"SMNW.OUTBOUND","-33.7276417","150.9929423","269","23461.23"
"SMNW.OUTBOUND","-33.7275002","150.9926255","270","23494.53"
"SMNW.OUTBOUND","-33.727363","150.9922387","271","23533.47"
"SMNW.OUTBOUND","-33.7272671","150.9919235","272","23564.56"
"SMNW.OUTBOUND","-33.7271994","150.9915066","273","23603.92"
"SMNW.OUTBOUND","-33.7271616","150.9912604","274","23627.12"
"SMNW.OUTBOUND","-33.7271311","150.9909674","275","23654.48"
"SMNW.OUTBOUND","-33.727117","150.9903163","276","23714.85"
"SMNW.OUTBOUND","-33.7271634","150.9899414","277","23749.97"
"SMNW.OUTBOUND","-33.7271929","150.9897852","278","23764.81"
"SMNW.OUTBOUND","-33.7272276","150.9896132","279","23781.21"
"SMNW.OUTBOUND","-33.7272995","150.9892916","280","23812.07"
"SMNW.OUTBOUND","-33.7273847","150.9889457","281","23845.49"
"SMNW.OUTBOUND","-33.7275003","150.9885747","282","23882.19"
"SMNW.OUTBOUND","-33.7279102","150.9872827","283","24010.27"
"SMNW.OUTBOUND","-33.7280296","150.9869058","284","24047.62"
"SMNW.OUTBOUND","-33.7281203","150.9866042","285","24077.33"
"SMNW.OUTBOUND","-33.7284294","150.9856324","286","24173.7"
"SMNW.OUTBOUND","-33.7285829","150.9850927","287","24226.54"
"SMNW.OUTBOUND","-33.7287298","150.9844932","288","24284.44"
"SMNW.OUTBOUND","-33.7288138","150.9840171","289","24329.53"
"SMNW.OUTBOUND","-33.7290768","150.9820859","290","24510.87"
"SMNW.OUTBOUND","-33.7291328","150.9816598","291","24550.85"
"SMNW.OUTBOUND","-33.7295168","150.9789077","292","24809.44"
"SMNW.OUTBOUND","-33.7296859","150.9777051","293","24922.46"
"SMNW.OUTBOUND","-33.729768","150.9770921","294","24979.99"
"SMNW.OUTBOUND","-33.7298923","150.9762114","295","25062.77"
"SMNW.OUTBOUND","-33.730108","150.9747561","296","25199.75"
"SMNW.OUTBOUND","-33.7302098","150.9740097","297","25269.83"
"SMNW.OUTBOUND","-33.7302757","150.9735122","298","25316.52"
"SMNW.OUTBOUND","-33.730336","150.9731273","299","25352.81"
"SMNW.OUTBOUND","-33.7303956","150.9726808","300","25394.71"
"SMNW.OUTBOUND","-33.7305222","150.971809","301","25476.72"
"SMNW.OUTBOUND","-33.7306376","150.9709514","302","25557.22"
"SMNW.OUTBOUND","-33.730865","150.9695018","303","25693.91"
"SMNW.OUTBOUND","-33.7309891","150.9689078","304","25750.65"
"SMNW.OUTBOUND","-33.7310832","150.968577","305","25783.04"
"SMNW.OUTBOUND","-33.7312135","150.9682297","306","25818.32"
"SMNW.OUTBOUND","-33.7315422","150.9674828","307","25896.55"
"SMNW.OUTBOUND","-33.7317279","150.9671205","308","25935.94"
"SMNW.OUTBOUND","-33.731826","150.9669422","309","25955.73"
"SMNW.OUTBOUND","-33.731944","150.9667759","310","25975.95"
"SMNW.OUTBOUND","-33.7322253","150.9664151","311","26021.68"
"SMNW.OUTBOUND","-33.7325096","150.9660732","312","26066.38"
"SMNW.OUTBOUND","-33.7327116","150.9658492","313","26096.93"
"SMNW.OUTBOUND","-33.7330056","150.9655056","314","26142.51"
"SMNW.OUTBOUND","-33.7334397","150.96498","315","26211.0"
"SMNW.OUTBOUND","-33.7342469","150.9640822","316","26333.22"
"SMNW.OUTBOUND","-33.7345552","150.9637396","317","26379.88"
"SMNW.OUTBOUND","-33.7349724","150.9632689","318","26443.47"
